Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Microsoft Azure DevOps Engineer Expert (AZ-400) Cert Prep: 4 Design and Implement Build and Release Pipelines by Microsoft Press,"<p>Get ready to take your skills to the next level and tackle the fourth domain of the Azure DevOps Engineer Expert (AZ-400) certification exam: Design and Implement Build and Release Pipelines. Join the experts from Microsoft Press for an overview of how to develop, implement and manage build pipelines and some external tools you can use to facilitate your processes. Learn how to set up build agents and create both classic Azure Pipelines and YAML pipelines. Explore package management, containers, and ways to maintain your code quality and security. Plus, learn how to integrate external tools, optimize your builds, and monitor and analyze your pipelines. By the end of this course, you’ll be ready to tackle the fourth domain of the official exam.</p>
 
<p>This course was created by Microsoft Press. We are pleased to host this training in our library.</p>",Course,2023-06-25 20:35 UTC,N/A,false,N/A,
Marketing Foundations: Competitive Market Analysis (2017),"By compiling a competitive analysis, you gain insight into your competitors to identify your own advantage and edge in the marketplace. In this course, join marketing expert Deirdre Breakenridge as she explains how to conduct a competitive analysis for your business. In addition to explaining the value of a competitive analysis, Deirdre shares best practices for conducting research on your competition, and discerning your own strengths and weaknesses. She also discusses how to analyze your competitor's strategies to inform your future goals. Finally, Deirdre shows you how to evaluate the outcome of your analysis.",Course,2022-09-28 22:02 UTC,N/A,false,N/A,
React: Design Patterns,"If you’ve learned the basics of React and have worked on many React applications, chances are you’ve run into some recurring problems and situations, like creating reusable layouts or working with forms. If you’ve been on the hunt for solutions to common problems, look no further than this course with Shaun Wassell, where he covers many of the most useful design patterns—effective and repeatable solutions to common application development challenges. This course consists of several sections, each of which will cover a group of React design patterns, ranging from preferred syntax for specific tasks to how to arrange components in the most effective way. Among the topics Shaun covers are composition, higher-order components, state hoisting, controlled vs. uncontrolled components, and many other patterns that help a React app develop into a well-organized codebase.",Course,2023-01-16 15:20 UTC,N/A,false,N/A,
Learning Python,"Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2023-04-21 17:17 UTC,N/A,false,N/A,
React.js Essential Training,"Among all other JavaScript libraries, React.js stands out. It relies on reusable components, not templates, for UI development, allowing developers to render views where data changes over time. React applications are more scalable and more maintainable, making developers more efficient and users more satisfied. In this course, Eve Porcello introduces the basics of the React library using the most modern syntax and best practices for creating React components. Along the way, learn how to set up Chrome tools for React; create new components; work with the built-in Hooks in React; use the Create React App to run tests, and more. By the end of the course, you'll be armed with the essentials of React.js and better prepared to build your own browser-based projects.",Course,2023-08-23 20:58 UTC,N/A,false,N/A,
Practical Engineering,"Engineering involves a lot of theory. But we don't always get to see it in practice. This series teaches fundamental principles that all civil and mechanical engineers need to know, alongside demonstrations that show how they really work. Using everything from desktop models predicting the movement of groundwater to hand-built examples of mechanically stabilized earth, instructor Grady Hillhouse explains how engineering concepts become real. Every month, he introduces an important new topic that will improve your understanding of essential engineering principles, including force, strength, tension, compression, and more, and help you find better solutions to common design challenges.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2023-04-27 01:09 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling a Bicycle,"Cycling is more popular than ever, and many people are opting to build their own frames. Whether you love bikes and you want to build your own frame, or if you just want to practice your own SOLIDWORKS skills in a fun and practical way, join design engineer and avid cyclist Johno Ellison as he shows how to create a rigid bike frame based on real-life frame geometry. He shows how to create the frame, identify off-the-shelf parts such as handlebars, combine them into an assembly, and prepare drawings for the final product. Throughout the course, Johno shows some of the more practical aspects of bike building, as well as how they relate to SOLIDWORKS and CAD in general, giving you a great way to apply your modeling skills.",Course,2022-12-03 17:25 UTC,N/A,false,N/A,
Fusion 360: Design for Mechatronics,"Fusion 360 is a world-leading mechanical design software. But it also has an overlooked toolset for mechanical–electrical (mechatronic) design. This course teaches engineers and designers how to create simple mechatronic projects and documentation using Fusion 360. Instructor Justin Flett recaps the basics of the software, showing how to generate simple mechanical parts for a robot. He then reviews the advanced tools for plastics and casting design—Draft, Shell, and Rib—commonly used for mechatronics enclosures and casings. He shows how to incorporate components, plus motors and fasteners, into an assembly and how to route wires and cables. Finally, Justin explains how to generate final output, including exploded views and drawing, STEP, and PDF files for use in manufacturing.",Course,2022-11-26 14:55 UTC,N/A,false,N/A,
8 Things You Must Know in Python,"There are many beginner Python tutorials, but to build useful applications, you need to move beyond the basics. This course helps you on the journey to writing intermediate-level Python code. Instructor Jonathan Fernandes presents eight things that you should know how to do in Python. Topics include the Python any() and all() methods, using enumerate() and zip() methods, min() and max(), and more. For each topic, Jonathan provides a hands-on approach and then gives you a challenge (with solutions) to practice.
<br><br>
Note: This course was created by Jonathan Fernandes. We are pleased to host this training in our library.",Course,2023-06-15 13:15 UTC,N/A,false,N/A,
.NET with C# Essentials: Enhance Application Productivity and Performance ,"Microsoft .NET is a modern, cross-platform framework for developing applications for the web, desktop, and mobile devices. This course gives an introduction to some of the features of .NET that makes building applications easier, more performant, and more productive. Veteran technologist Joe Marini demonstrates how to use built-in capabilities of .NET such as string processing, data collection types, number and date formatting, reading and writing files, and even working with regular expressions. By using these built-in features, developers can focus on their core application logic and less on having to build common capabilities from scratch.",Course,2023-01-23 02:39 UTC,N/A,false,N/A,
Blender 3 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 3 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging (also known as armatures), visual effects and simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2023-05-12 09:33 UTC,N/A,false,N/A,
Java Exception Handling,"As you build any application, you can’t just assume that everything will run as expected. There are so many things that could cause your applications to not function properly or even crash. This course aims to teach developers how to handle such unforeseen scenarios in applications. Join instructor Cecili Reid as she teaches you the different types of exceptions, how to handle exceptions, and how to test an application to ensure it handles exceptions as expected. Cecili uses a sample Spring Boot web app as a case study and walks through practical scenarios where you’d want to use exception handling in that application. She starts with an initial application that doesn’t have exception handling mechanisms, and as she walks through each concept, she shows you how to improve the application by applying the concepts taught in each chapter. Cecili also shares some best practices to follow when handling exceptions in your applications.",Course,2023-03-19 04:39 UTC,N/A,false,N/A,
LPIC-2 Linux Engineer (201-450) Cert Prep: 2 Linux Kernel,"Are you an IT admin or network administrator needing to show your advanced understanding of and proficiency with Linux? The LPIC-2 Linux Engineer certification demonstrates an advanced proficiency with the Linux operating system and the ability to perform real-world maintenance and administrative tasks, and this series of courses from ITProTV helps you prepare to ace your certification exam. The 201-450 exam focuses on measuring and scaling system performance, configuring the Linux bootloader, advanced storage and network configurations, and other system maintenance tasks. This course, the second in the series, deals with the Linux kernel, including kernel components, kernel modules, how to compile a kernel, and how to monitor a kernel.
 <br><br>
Note: This course was created by ITProTV. We are pleased to host this training in our library.",Course,2023-03-06 07:27 UTC,N/A,false,N/A,
JavaScript: Maps and Sets,"Programming languages are always evolving and changing, and JavaScript is no exception. Over time, JavaScript has grown, and many new aspects have been added, including maps and sets. JavaScript maps and sets may sound simple, but they aren't quite the same as their counterparts in other programming languages. In this course, software engineer Jamie Pittman covers the ins and outs of JavaScript maps and sets, their syntax, how they work, and how to integrate them into your daily coding practice. Topics covered include a general overview of these features, when and where to use them, their WeakMap and WeakSet versions, and the various methods and properties associated with them.",Course,2022-12-10 16:41 UTC,N/A,false,N/A,
Arduino: Prototyping,"For designers and product managers, the Arduino family of microcontrollers and easy-to-assemble components is a valuable tool for exploring and evaluating hardware product designs. Rapid, incremental prototypes can help improve outcomes and reduce cost and time in the design process. In this course, instructor Robert Gallup helps you go beyond the basics and learn what it takes to develop Arduino-based prototypes. Robert begins by providing an overview of the prototype development process, highlighting both best practices and potential pitfalls. He then steps through how to develop and refine a proof-of-concept prototype, introducing relevant concepts and techniques along the way. After this course, you'll be ready to tackle your own hardware prototyping using Arduino. <br>
Robert also includes several hands-on challenges with solutions to help you better understand the LCD, animation dynamics, and the final process of completing your prototype and modifying it in response to feedback.",Course,2022-09-23 15:52 UTC,N/A,false,N/A,
Creating a Serverless Application Using React in AWS,"React is one of the key technologies that the new and modern web is being built upon. In this course, instructor Brett McLaughlin shows you how React and a complete web development ecosystem work together in building applications. Brett goes through all the steps in getting your React app set up, deployed, connected, and supported. Next, he steps you through creating React components to organize and display your content. Brett teaches you how to add cloud services like a database using JSON data and encourages you to ensure your code works on the cloud platform you're targeting. He covers how to interact with AWS and DynamoDB through the command line, then how to create and use a DynamoDB table. Next, Brett goes into how to create, load, and test a new role that can execute Lambda functions and interact with DynamoDB. He walks you through creating and deploying an API gateway. Brett concludes by showing you how to connect your React code to an API Gateway endpoint.",Course,2023-04-09 13:07 UTC,N/A,false,N/A,
Functional Programming with Java,"Functional programming is a way of organizing code that makes applications more scalable and maintainable. By utilizing the core concepts of immutability, data-function separation, and first-class functions, programmers can write better code. In this course, learn about the functional programming paradigm and see how to take advantage of it with Java and object-oriented programming. Apply the learnings to real-world code and examine some of the more advanced and misunderstood concepts—such as partial-application, recursion, and composition—to become skilled in developing flexible code.",Course,2023-03-05 04:30 UTC,N/A,false,N/A,
Learning LinkedIn (2021),"By harnessing the power of the LinkedIn platform, you can tap into an expansive network of professionals, companies, and groups in your industry and beyond. In this course, discover how to make the most of your LinkedIn account. Follow Oliver Schinkten as he explains how to build a stellar LinkedIn profile, and shares how to expand your network, look for new career opportunities, join groups, share updates, and contribute your own thought leadership. He goes over how to use Creator Mode and Cover Story, as well as how to add your preferred pronouns to your LinkedIn profile. Plus, Oliver explores privacy settings and account types. Upon wrapping up this course, you'll have the tools you need to grow your career by leveraging LinkedIn.",Course,2021-12-30 07:22 UTC,N/A,false,N/A,
React: Creating and Hosting a Full-Stack Site,"You've learned React and can create amazing front-end interfaces. But deploying them requires more. You need logic—and a place to put it. By combining your front-end UI with a back-end solution and cloud hosting, you can build powerful and interactive full-stack applications. In this project-based course, Shaun Wassell shows how to combine React, Node.js, and Amazon Web Services (AWS) in a full-stack, full-featured website, including user-friendly forms for posting articles and comments. Learn how to create an interface from React components, develop a Node.js server, tie in a MongoDB database, add user authentication with Firebase Auth, and deploy your site on Amazon Web Services. Join Shaun in this course to gain the skills to take your client services to the next level: full-stack web applications that are truly interactive.",Course,2023-01-27 08:06 UTC,N/A,false,N/A,
Python Data Structures and Algorithms,"Software developers know that efficient underlying architecture is essential to the technologies we use every day. Knowledge of data structures and the algorithms which they support helps developers choose the most suitable solution for a given context, making them better programmers who stand out to their company, clients, or prospective employers. In this course, leveraging the Python programming language, instructor Robin Andrews uses a combo of visual, theoretical, and hands-on programming approaches to explain concepts in a fun and accessible way. Robin explains some of the most important data structures such as stacks, queues, and priority queues, and how these are used by search algorithms such as depth-first search, breadth-first search, and the A-star (A*) algorithm. He shows how to trace the execution of algorithms. Along the way, he provides challenges that allow you to test your new skills.",Course,2022-12-09 22:35 UTC,N/A,false,N/A,
ASP.NET Core: Exception Handling,"When things go bad, good programmers are ready. Exception handling allows you to ensure your applications respond to errors with grace. With the right exception handling, your user’s experience will never be disrupted. This course teaches the basics of handling exceptions in the ASP.NET Core framework. Instructor Ervis Trupja starts with an overview of exception handling and then works through the various techniques to catch exceptions in ASP.NET. Learn how to use try-catch-finally to identify and handle errors, using both built-in and custom exception types. Then discover how to handle errors more efficiently with global handlers, and add exception filters to your .NET Core applications to apply global policies to unhandled exceptions.",Course,2023-02-03 15:29 UTC,N/A,false,N/A,
Create an Animated Character in Blender 2.9,"If you’ve ever wanted to create your own 3D animated character, this course is for you. Using open-source software—Blender and the paint program Krita—instructor Darrin Lile goes through every step of the process. He starts with creating the look of the character, showing how to bring in reference images, create textures for clothes, rig the bones of the character, and create, cut, and style your character’s hair. Darrin then gets into the animation process, demonstrating how to set up a reference video in the Blender interface, animate character movements, and create lip sync animation for a dialogue track. He finishes the course by adding music and sound effects, then rendering the final animation to a video file, so you can share your new creation.",Course,2023-04-30 12:54 UTC,N/A,false,N/A,
Ethical Hacking: Hacking Web Servers and Web Applications,"Websites and web applications are—by their very nature—accessible remotely, which puts them at high risk of cyberattacks. Knowing how to detect and prevent web attacks is a critical skill for developers and information security professionals alike. In this course, find out about existing and emerging web protocols and how to test your sites and applications for weaknesses. Cybersecurity expert Malcolm Shore examines the various parts of a web application and introduces the Open Web Application Security Project (OWASP), which provides documentation, tools, and forums for web developers and testers. He also provides an overview of popular testing tools, including Burp Suite and OWASP ZAP. Learn how to use these utilities to run basic and advanced tests, and protect sites against common attacks.

<br/><br/>Note: The <i>Ethical Hacking</i> series maps to the 20 parts of the <a href=""https://iclass.eccouncil.org/our-courses/certified-ethical-hacker-ceh/#1493240598534-2f9b47f1-3b7e"" target=""_blank"">EC-Council Certified Ethical Hacker (CEH) exam (312-50) version 11</a>.",Course,2023-08-10 11:42 UTC,N/A,false,N/A,
Introduction to Web APIs (2019),"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6877029256371716096?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Front-End Web Development Newsletter</a></div><br>The term ""API,"" much like “the cloud,"" is often thrown around in casual technical conversation. If you're familiar with the term—but a bit fuzzy on the specifics of how application programming interfaces (APIs) work—then this course is for you. In plain language, instructor Andrew Probert covers the essentials of this core piece of modern web development, explaining what APIs are and how to use them to quickly incorporate data into your websites. Throughout the course, Andrew focuses on consuming and getting data from APIs. He also goes over the basics of associated technologies and skills, such as JSON and object-oriented programming, and shows how to handle errors you might encounter when trying to get data from an API.",Course,2022-07-04 13:59 UTC,N/A,false,N/A,
Java Object-Oriented Programming,"Are you familiar with Java but want to get the most out of your Java programs? In this course, Kathryn Hodge teaches the basics of object-oriented programming in Java, so you can write code that’s secure, scalable, and easier to troubleshoot. Kathryn begins by showing how object-oriented principles are embedded into the Java language from the first code file you create. She looks at how classes, instances, and constructors embody the idea of representing real-life objects in code. Kathryn not only shows how to apply object-oriented principles in your own programs, but also explains how Java leverages these principles behind the scenes. While many resources about object-oriented programming focus on abstract examples, the goal of this course is to get away from the abstract and focus more on practical examples of these principles in Java. Along with deep dives into the source code, this course also provides several challenges and solutions to help you apply what you’ve learned.",Course,2023-04-13 04:30 UTC,N/A,false,N/A,
Burp Suite Essential Training,"Burp Suite, the popular web application penetration testing tool, has quickly become one of the preferred choices of security professionals around the world. In this course, instructor Malcolm Shore provides you with an in-depth look at how to use Burp Suite to meet all of your pen testing needs.<br><br>Explore the basics of the Burp Suite user interface as well as how to proxy web traffic and set up additional targets. Learn about using Burp Suite as both a website crawler and a man in the middle proxy for message viewing, finding missing content, and modifying and manipulating commands. Find out how Burp Suite works as an attack tool when it's in intruder mode, and how to configure CO2 as an extension that integrates with SQLMap. Along the way, Malcolm offers tips on how to take your web application penetration testing skills to the next level and beyond.",Course,2023-05-13 17:39 UTC,N/A,true,N/A,
Learning C++,"C++ is one of the most powerful and widely used programming languages of all time. It is also one of the oldest programming languages in use today. In this course, learn the basic elements of this object-oriented programming language that moves the world. Instructor Eduardo Corpeño begins with setting up the development environment and introducing the basic elements of object-oriented programming. Eduardo covers data types such as variables, expressions, assignments, constants, and more. He explains structures, classes, pointers, vectors, and so on. After stepping through the control flow process and a variety of useful functions, Eduardo finishes up with detailed information on opening and working with files.",Course,2022-12-09 10:18 UTC,N/A,false,N/A,
Citizens Bank CEO Bruce Van Saun (Thirty Minute Mentors),"Bruce Van Saun is the CEO of Citizens Financial Group. A Fortune 500 CEO, Bruce Van Saun has been a C-level executive at major financial institutions for the past three decades and led Citizens through the largest IPO in the history of any U.S. commercial bank. In this audio-only course, adapted from the <i>Thirty Minute Mentors</i> podcast, Bruce joins leadership expert Adam Mendler to share his journey and best lessons learned along the way. Bruce and Adam discuss a broad range of topics, including leadership in times good and bad; hiring and organizational culture; marketing and product differentiation; deal making; and much more.
 
<br><br>
Note: This course was created by Adam Mendler and <i>Thirty Minute Mentors</i>. We are pleased to host this training in our library.",Course,2022-04-25 09:52 UTC,N/A,false,N/A,
